id,label
12052,0.985000
5200,0.985000
4771,0.985000
11069,0.985000
2988,0.985000
324,0.015000
484,0.015000
1931,0.015000
10820,0.985000
5985,0.985000
7798,0.985000
4541,0.985000
7639,0.015000
1195,0.985000
2019,0.015000
8787,0.015000
7807,0.985000
7629,0.015000
3216,0.985000
4402,0.015000
2120,0.985000
164,0.985000
10072,0.015000
75,0.015000
256,0.015000
8674,0.015000
3260,0.985000
7382,0.015000
10227,0.015000
11717,0.985000
11473,0.985000
2020,0.015000
11864,0.101774
2415,0.015000
9652,0.970753
6128,0.985000
3299,0.015000
6296,0.015000
5677,0.985000
7181,0.985000
1007,0.985000
4102,0.985000
2348,0.015000
11857,0.015000
7810,0.015000
9119,0.985000
10544,0.015000
2021,0.015000
7754,0.015000
7951,0.015000
5832,0.015000
5000,0.985000
4,0.985000
1611,0.015000
8988,0.015000
12185,0.985000
4231,0.985000
8079,0.015000
751,0.015000
11404,0.015000
301,0.015000
9706,0.372867
1597,0.015000
4052,0.015000
11605,0.985000
3512,0.985000
10832,0.985000
8577,0.015000
11858,0.015000
2254,0.985000
3267,0.015000
7670,0.015000
882,0.985000
4951,0.015000
10162,0.985000
2138,0.985000
8197,0.985000
12317,0.015000
9528,0.015000
4670,0.015000
3846,0.093725
12272,0.015000
7426,0.015000
4940,0.985000
10173,0.015000
1642,0.985000
9176,0.015000
3182,0.985000
3519,0.985000
6745,0.985000
1095,0.985000
5223,0.015000
5428,0.985000
3238,0.985000
11027,0.985000
700,0.985000
2153,0.015000
12329,0.985000
4586,0.985000
3937,0.985000
10313,0.985000
2974,0.985000
1966,0.985000
8147,0.985000
2951,0.985000
2982,0.985000
9574,0.015000
10586,0.015000
10344,0.985000
3070,0.985000
1100,0.985000
4513,0.015000
93,0.015000
7852,0.015000
6913,0.015000
6527,0.985000
11430,0.985000
8123,0.985000
2768,0.985000
12291,0.985000
8361,0.985000
6281,0.985000
6137,0.985000
6118,0.985000
10268,0.985000
4363,0.935657
10683,0.985000
2853,0.015000
9161,0.985000
6563,0.015000
7593,0.015000
6796,0.015000
8539,0.985000
455,0.015000
11232,0.985000
9351,0.015000
1647,0.985000
9395,0.015000
3434,0.985000
5643,0.015000
7771,0.015000
3187,0.985000
10995,0.015000
8777,0.015000
7323,0.985000
9520,0.985000
5493,0.985000
10294,0.015000
8017,0.015000
2434,0.015000
4742,0.015000
3977,0.015000
8868,0.985000
11080,0.985000
9519,0.015000
5360,0.015000
1241,0.985000
6377,0.985000
3775,0.985000
12140,0.015000
5290,0.015000
11104,0.985000
7335,0.015000
2086,0.985000
7050,0.015000
834,0.985000
6231,0.985000
1273,0.985000
3713,0.985000
4168,0.015000
3716,0.985000
5913,0.015000
10757,0.015000
6424,0.015000
2584,0.015000
2146,0.985000
7616,0.985000
3762,0.015000
3671,0.015000
6967,0.985000
5669,0.015000
8462,0.015000
7023,0.015000
6116,0.985000
687,0.985000
2579,0.985000
2302,0.015000
9815,0.985000
4197,0.015000
215,0.985000
6407,0.015000
4365,0.015000
5087,0.015000
10410,0.015000
6321,0.985000
8426,0.015000
204,0.985000
12148,0.015000
8085,0.015000
8101,0.985000
9831,0.015000
2136,0.985000
7637,0.985000
7381,0.015000
11318,0.015000
9618,0.985000
1019,0.985000
11549,0.015000
9033,0.015000
368,0.985000
3045,0.985000
1070,0.985000
4339,0.015000
10462,0.985000
10280,0.985000
576,0.015000
11457,0.015000
163,0.015000
11517,0.015000
5908,0.985000
3201,0.985000
6359,0.015000
177,0.985000
1653,0.985000
9704,0.015000
7873,0.985000
6058,0.015000
7254,0.905038
9872,0.015000
8457,0.985000
6765,0.015000
10109,0.015000
1536,0.985000
7211,0.015000
5790,0.015000
9386,0.985000
6983,0.015000
5544,0.015000
4499,0.985000
3006,0.985000
5128,0.985000
9730,0.015000
10269,0.985000
10539,0.015000
9264,0.015000
6524,0.985000
2707,0.015000
310,0.015000
10592,0.015000
8417,0.015000
985,0.015000
264,0.015000
773,0.985000
7219,0.985000
417,0.985000
2131,0.015000
12278,0.985000
11182,0.985000
8303,0.985000
11943,0.015000
10208,0.985000
9036,0.985000
229,0.985000
4577,0.985000
11639,0.015000
19,0.015000
3509,0.985000
1810,0.193412
9363,0.015000
246,0.015000
5745,0.015000
5965,0.985000
3863,0.015000
5263,0.015000
5532,0.985000
8639,0.015000
6964,0.015000
3573,0.015000
5570,0.985000
3371,0.015000
6483,0.015000
1892,0.129367
12295,0.015000
1692,0.985000
514,0.015000
5174,0.015000
9047,0.015000
9252,0.015000
7175,0.015000
6337,0.015000
10802,0.015000
1922,0.972780
12225,0.985000
9104,0.089972
4453,0.015000
7375,0.985000
10636,0.985000
5275,0.015000
11378,0.985000
4426,0.985000
447,0.015000
11472,0.985000
4544,0.015000
3106,0.015000
3448,0.015000
4857,0.985000
4761,0.015000
12041,0.985000
2782,0.015000
5373,0.015000
2607,0.015000
11810,0.985000
8734,0.015000
11305,0.985000
11443,0.985000
8684,0.015000
2224,0.015000
2009,0.985000
510,0.985000
10512,0.015000
2492,0.015000
11610,0.015000
3061,0.985000
1247,0.015000
7980,0.015000
1520,0.015000
1758,0.985000
9430,0.985000
9410,0.985000
4744,0.985000
9995,0.964807
11256,0.015000
11285,0.015000
11545,0.015000
5066,0.985000
3653,0.985000
6666,0.015000
10735,0.015000
141,0.015000
10962,0.985000
7391,0.015000
2404,0.985000
1468,0.985000
4149,0.015000
1912,0.985000
6427,0.015000
10144,0.985000
6752,0.015000
1537,0.985000
555,0.985000
3886,0.015000
12306,0.015000
7125,0.015000
9684,0.985000
7747,0.985000
3398,0.015000
5094,0.985000
11797,0.015000
10293,0.985000
2207,0.015000
6502,0.985000
880,0.015000
9466,0.015000
9364,0.985000
5018,0.015000
320,0.015000
2747,0.015000
4508,0.015000
8743,0.015000
2037,0.985000
1923,0.015000
6623,0.015000
2333,0.985000
5054,0.015000
3405,0.015000
3363,0.985000
9426,0.985000
11956,0.053730
43,0.985000
2521,0.985000
189,0.015000
647,0.015000
10099,0.015000
9844,0.985000
4273,0.015000
12446,0.015000
1844,0.015000
7638,0.015000
1483,0.985000
8813,0.015000
11609,0.015000
10902,0.985000
3374,0.985000
5406,0.985000
4787,0.985000
6968,0.015000
6401,0.015000
10886,0.015000
238,0.985000
4219,0.985000
8874,0.015000
5562,0.985000
10472,0.015000
2690,0.015000
12292,0.985000
3715,0.985000
11290,0.985000
9349,0.015000
4486,0.015000
3750,0.985000
10849,0.015000
2632,0.015000
11958,0.985000
7588,0.015000
11281,0.985000
3814,0.985000
7477,0.015000
10922,0.015000
5051,0.015000
11122,0.015000
6505,0.015000
